S-no,Agency,Date of announcement,State,Date of running,News Headings Short,News heading,Matching keyword,links,Relevancy
87,DOC,06-07-2023,Others,06-08-2023,One Year In: Treasury Department’s Capital Projects Fund Connecting Nearly Two Million Families and ...more,"One Year In: Treasury Department’s Capital Projects Fund Connecting Nearly Two Million Families and Businesses to Affordable, High-Speed Internet",internet,https://home.treasury.gov/news/press-releases/jy1526,Irrelevant
88,NCTA,06-07-2023,Others,06-08-2023,Broadband Stats: A Continued Commitment to Sustainability,Broadband Stats: A Continued Commitment to Sustainability,broadband,https://www.ncta.com/whats-new/broadband-stats-a-continued-commitment-sustainability,Irrelevant
89,EPA,06-08-2023,Iowa,06-09-2023,"EPA Region 7 Presents $642K Check to City of Waterloo, Iowa, After Selection for Brownfields Grant","EPA Region 7 Presents $642K Check to City of Waterloo, Iowa, After Selection for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-presents-642k-check-city-waterloo-iowa-after-selection-brownfields-grant,Irrelevant
90,EPA,06-09-2023,Others,06-10-2023,EPA Announces $52 Million WIFIA loan to Pittsburgh Water and Sewer Authority,EPA Announces $52 Million WIFIA loan to Pittsburgh Water and Sewer Authority,wifi,https://www.epa.gov/newsreleases/epa-announces-52-million-wifia-loan-pittsburgh-water-and-sewer-authority,Irrelevant
91,EPA,06-12-2023,Iowa,6/13/2023,"EPA Region 7 Presents City of Oskaloosa, Iowa, with $300K Check for Brownfields Grant","EPA Region 7 Presents City of Oskaloosa, Iowa, with $300K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-presents-city-oskaloosa-iowa-300k-check-brownfields-grant,Irrelevant
92,Internet for All,06-12-2023,Virgin Islands,6/13/2023,Biden-Harris Administration Awards Nearly $1.25 Million to the U.S. Virgin Islands for ‘Internet for...more,Biden-Harris Administration Awards Nearly $1.25 Million to the U.S. Virgin Islands for ‘Internet for All’ Planning Grant,internet,https://www.internet4all.gov/news-media/biden-harris-administration-awards-nearly-125-million-us-virgin-islands-internet-all,Relevant
93,USDA,06-12-2023,Others,6/13/2023,Biden-Harris Administration Announces Over $700 Million to Connect People in Rural Areas to High-Spe...more,Biden-Harris Administration Announces Over $700 Million to Connect People in Rural Areas to High-Speed Internet,internet,https://www.usda.gov/media/press-releases/2023/06/12/biden-harris-administration-announces-over-700-million-connect,Relevant
94,EPA,6/13/2023,Iowa,6/14/2023,"EPA Region 7 to Present City of Mason City, Iowa, with $500K Check for Brownfields Grant","EPA Region 7 to Present City of Mason City, Iowa, with $500K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-present-city-mason-city-iowa-500k-check-brownfields-grant,Irrelevant
95,EPA,6/14/2023,Iowa,6/15/2023,"EPA Region 7 to Present City of Eldora, Iowa, with $400K Check for Brownfields Grant","EPA Region 7 to Present City of Eldora, Iowa, with $400K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-present-city-eldora-iowa-400k-check-brownfields-grant,Irrelevant
96,EPA,6/15/2023,Iowa,6/16/2023,"EPA Region 7 to Present City of Fort Dodge, Iowa, with $500K Check for Brownfields Grant","EPA Region 7 to Present City of Fort Dodge, Iowa, with $500K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-present-city-fort-dodge-iowa-500k-check-brownfields-grant,Irrelevant
97,EPA,6/15/2023,Iowa,6/16/2023,"EPA Region 7 to Present City of Perry, Iowa, with $375K Check for Brownfields Grant","EPA Region 7 to Present City of Perry, Iowa, with $375K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-present-city-perry-iowa-375k-check-brownfields-grant,Irrelevant
98,DOC,6/15/2023,Montana,6/16/2023,Treasury Department Announces Awards in Montana and North Dakota to Expand Connectivity and Bring Hi...more,Treasury Department Announces Awards in Montana and North Dakota to Expand Connectivity and Bring High-Speed Internet to More Families and Businesses as Part of President Biden’s Investing in America Agenda,internet,https://home.treasury.gov/news/press-releases/jy1541,Relevant
99,NCTA,6/15/2023,Others,6/16/2023,Why Access to Broadband Is Important to Rural America,Why Access to Broadband Is Important to Rural America,broadband,https://www.ncta.com/whats-new/why-access-broadband-is-important-rural-america,Irrelevant
100,Internet for All,6/16/2023,Others,6/17/2023,Biden-Harris Administration Announces $930 Million to Expand and Strengthen America’s High-Speed Int...more,Biden-Harris Administration Announces $930 Million to Expand and Strengthen America’s High-Speed Internet Networks as Part of the Investing in America Agenda,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-930-million-expand-and-strengthen-americas-high,Relevant
101,NCTA,6/20/2023,Others,6/21/2023,Cable Delivers High-Speed Broadband to Rural Communities,Cable Delivers High-Speed Broadband to Rural Communities,broadband,https://www.ncta.com/whats-new/cable-delivers-high-speed-broadband-rural-communities,Irrelevant
102,NCTA,6/22/2023,Others,6/23/2023,Broadband Stats: A World of Wi-Fi,Broadband Stats: A World of Wi-Fi,broadband,https://www.ncta.com/whats-new/broadband-stats-a-world-of-wi-fi,Irrelevant
103,EPA,6/23/2023,Missouri,6/24/2023,"EPA Region 7 to Present City of Maryville, Missouri, with $211K Check for Brownfields Grant","EPA Region 7 to Present City of Maryville, Missouri, with $211K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-present-city-maryville-missouri-211k-check-brownfields-grant,Irrelevant
104,DOC,6/23/2023,Washington,6/24/2023,"Treasury Department Announces Approval of Federal Funds to Connect 33,000 Washington State Homes and...more","Treasury Department Announces Approval of Federal Funds to Connect 33,000 Washington State Homes and Businesses to Affordable, High-Speed Internet as Part of President Biden’s Investing in America Agenda",internet,https://home.treasury.gov/news/press-releases/jy1574,Relevant
105,NTIA,6/26/2023,Others,6/27/2023,Biden-Harris Administration Announces State Allocations for $42.45 Billion High-Speed Internet Grant...more,Biden-Harris Administration Announces State Allocations for $42.45 Billion High-Speed Internet Grant Program as Part of Investing in America Agenda,internet,https://ntia.gov/press-release/2023/biden-harris-administration-announces-state-allocations-4245-billion-high-speed,Relevant
106,EPA,6/28/2023,Others,6/29/2023,Biden-Harris Administration Launches $7 Billion Solar for All Grant Competition to Fund Residential ...more,Biden-Harris Administration Launches $7 Billion Solar for All Grant Competition to Fund Residential Solar Programs that Lower Energy Costs for Families and Advance Environmental Justice Through Investing in America Agenda,grant,https://www.epa.gov/newsreleases/biden-harris-administration-launches-7-billion-solar-all-grant-competition-fund,Irrelevant
107,EPA,6/28/2023,Nebraska,6/29/2023,"EPA Region 7 to Present City of Chadron, Nebraska, with $500K Check for Brownfields Grant","EPA Region 7 to Present City of Chadron, Nebraska, with $500K Check for Brownfields Grant",grant,https://www.epa.gov/newsreleases/epa-region-7-present-city-chadron-nebraska-500k-check-brownfields-grant,Irrelevant
108,Broadband Money,6/28/2023,Mississippi,6/29/2023,"Sally Doty and Mississippi BEAM expand broadband access across the Magnolia State
State Broadband Of...more","Sally Doty and Mississippi BEAM expand broadband access across the Magnolia State
State Broadband Offices
Mississippi
June 28, 2023
Bringing reliable, high-speed Internet access to every Mississippian has been at the heart of BEAM’s mission since its formation in 2019, including its capital fund project to create a grant program to successfully connect more than 30,000 unserved locations in the state. 
Broadband.money",internet,https://broadband.money/blog-categories/state-broadband-offices,Irrelevant
109,EPA,6/29/2023,Missouri,6/30/2023,EPA Grants Ameren an Extension to Submit Draft Focused Feasibility Study for Huster Road Substation ...more,"EPA Grants Ameren an Extension to Submit Draft Focused Feasibility Study for Huster Road Substation in St. Charles, Missouri",grant,https://www.epa.gov/newsreleases/epa-grants-ameren-extension-submit-draft-focused-feasibility-study-huster-road,Irrelevant
110,EPA,6/29/2023,New York,6/30/2023,EPA and Congresswoman Velázquez Announce $7 Billion Solar for All Grant Competition at Community Wor...more,"EPA and Congresswoman Velázquez Announce $7 Billion Solar for All Grant Competition at Community Workshop in Brooklyn, New York",grant,https://www.epa.gov/newsreleases/epa-and-congresswoman-velazquez-announce-7-billion-solar-all-grant-competition,Irrelevant
111,Internet for All,6/29/2023,Others,6/30/2023,Biden-Harris Administration Announces $8.39 Million in Internet for All Grants to Tribal Lands,Biden-Harris Administration Announces $8.39 Million in Internet for All Grants to Tribal Lands,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-839-million-internet-all-grants-tribal-lands,Relevant
112,Internet for All,6/30/2023,Nevada,07-01-2023,Biden-Harris Administration Announces $416.7 Million to Nevada for High-Speed Internet Infrastructur...more,Biden-Harris Administration Announces $416.7 Million to Nevada for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-4167-million-nevada-high-speed-internet-0,Relevant
113,Internet for All,6/30/2023,Virgin Islands,07-01-2023,Biden-Harris Administration Announces $27 Million to U.S. Virgin Islands for High-Speed Internet Inf...more,Biden-Harris Administration Announces $27 Million to U.S. Virgin Islands for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-27-million-us-virgin-islands-high-speed-internet-0,Relevant
114,Internet for All,6/30/2023,Virginia,07-01-2023,Biden-Harris Administration Announces $1.2 Billion to West Virginia for High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $1.2 Billion to West Virginia for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-12-billion-west-virginia-high-speed-internet-0,Relevant
115,Internet for All,6/30/2023,Vermont,07-01-2023,Biden-Harris Administration Announces $229 Million to Vermont for High-Speed Internet Infrastructure,Biden-Harris Administration Announces $229 Million to Vermont for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-229-million-vermont-high-speed-internet-0,Relevant
116,Internet for All,6/30/2023,Tennessee,07-01-2023,Biden-Harris Administration Announces $813.3 Million to Tennessee for High-Speed Internet Infrastruc...more,Biden-Harris Administration Announces $813.3 Million to Tennessee for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-8133-million-tennessee-high-speed-internet-0,Relevant
117,Internet for All,6/30/2023,Rhode Island,07-01-2023,Biden-Harris Administration Announces $108.7 Million to Rhode Island for High-Speed Internet Infrast...more,Biden-Harris Administration Announces $108.7 Million to Rhode Island for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1087-million-rhode-island-high-speed-internet-0,Relevant
118,Internet for All,6/30/2023,Oklahoma,07-01-2023,Biden-Harris Administration Announces $797.4 Million to Oklahoma for High-Speed Internet Infrastruct...more,Biden-Harris Administration Announces $797.4 Million to Oklahoma for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-7974-million-oklahoma-high-speed-internet-0,Relevant
119,Internet for All,6/30/2023,North Carolina,07-01-2023,Biden-Harris Administration Announces $1.5 Billion to North Carolina for High-Speed Internet Infrast...more,Biden-Harris Administration Announces $1.5 Billion to North Carolina for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-15-billion-north-carolina-high-speed-internet-0,Relevant
120,Internet for All,6/30/2023,New Jersey,07-01-2023,Biden-Harris Administration Announces $263.7 Million to New Jersey for High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $263.7 Million to New Jersey for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-2637-million-new-jersey-high-speed-internet-0,Relevant
121,Internet for All,6/30/2023,Nebraska,07-01-2023,Biden-Harris Administration Announces $405.3 Million to Nebraska for High-Speed Internet Infrastruct...more,Biden-Harris Administration Announces $405.3 Million to Nebraska for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-4053-million-nebraska-high-speed-internet-0,Relevant
122,Internet for All,6/30/2023,Others,07-01-2023,Biden-Harris Administration Announces $80.8 Million to Northern Mariana Islands for High-Speed Inter...more,Biden-Harris Administration Announces $80.8 Million to Northern Mariana Islands for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-808-million-northern-mariana-islands-high-speed-0,Relevant
123,Internet for All,6/30/2023,Wyoming,07-01-2023,Biden-Harris Administration Announces $347.9 Million to Wyoming for High-Speed Internet Infrastructu...more,Biden-Harris Administration Announces $347.9 Million to Wyoming for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-3479-million-wyoming-high-speed-internet-0,Relevant
124,Internet for All,6/30/2023,Washington,07-01-2023,Biden-Harris Administration Announces $1.2 Billion to Washington for High-Speed Internet Infrastruct...more,Biden-Harris Administration Announces $1.2 Billion to Washington for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-12-billion-washington-high-speed-internet-0,Relevant
125,Internet for All,6/30/2023,Utah,07-01-2023,Biden-Harris Administration Announces $317.4 Million to Utah for High-Speed Internet Infrastructure,Biden-Harris Administration Announces $317.4 Million to Utah for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-3174-million-utah-high-speed-internet-0,Relevant
126,Internet for All,6/30/2023,South Dakota,07-01-2023,Biden-Harris Administration Announces $207.2 Million to South Dakota for High-Speed Internet Infrast...more,Biden-Harris Administration Announces $207.2 Million to South Dakota for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-2072-million-south-dakota-high-speed-internet-0,Relevant
127,Internet for All,6/30/2023,Pennsylvania,07-01-2023,Biden-Harris Administration Announces $1.1 Billion to Pennsylvania for High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $1.1 Billion to Pennsylvania for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-11-billion-pennsylvania-high-speed-internet-0,Relevant
128,Internet for All,6/30/2023,Ohio,07-01-2023,Biden-Harris Administration Announces $793.7 Million to Ohio for High-Speed Internet Infrastructure,Biden-Harris Administration Announces $793.7 Million to Ohio for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-7937-million-ohio-high-speed-internet-0,Relevant
129,Internet for All,6/30/2023,New York,07-01-2023,Biden-Harris Administration Announces $664.6 Million to New York for High-Speed Internet Infrastruct...more,Biden-Harris Administration Announces $664.6 Million to New York for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-6646-million-new-york-high-speed-internet-0,Relevant
130,Internet for All,6/30/2023,New Hampshire,07-01-2023,Biden-Harris Administration Announces $197 Million to New Hampshire for High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $197 Million to New Hampshire for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-197-million-new-hampshire-high-speed-internet-0,Relevant
131,Internet for All,6/30/2023,Montana,07-01-2023,Biden-Harris Administration Announces $629 Million to Montana for High-Speed Internet Infrastructure,Biden-Harris Administration Announces $629 Million to Montana for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-629-million-montana-high-speed-internet-0,Relevant
132,Internet for All,6/30/2023,Puerto Rico,07-01-2023,Biden-Harris Administration Announces $334.6 Million to Puerto Rico for High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $334.6 Million to Puerto Rico for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-3346-million-puerto-rico-high-speed-internet-0,Relevant
133,Internet for All,6/26/2023,California,07-01-2023,Biden-Harris Administration Announces More Than $1.8 Billion to California to Deploy High-Speed Inte...more,Biden-Harris Administration Announces More Than $1.8 Billion to California to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-more-18-billion-california-deploy-high-speed,Relevant
134,Internet for All,6/26/2023,Wisconsin,07-01-2023,Biden-Harris Administration Announces $1.1 Billion to Wisconsin for High-Speed Internet Infrastructu...more,Biden-Harris Administration Announces $1.1 Billion to Wisconsin for High-Speed Internet Infrastructure,grant,https://www.internet4all.gov/news-media/biden-harris-administration-announces-11-billion-wisconsin-high-speed-internet,Relevant
135,Internet for All,6/26/2023,Delaware,07-01-2023,Biden-Harris Administration Announces $108 Million to Delaware to Deploy High-Speed Internet Infrast...more,Biden-Harris Administration Announces $108 Million to Delaware to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-108-million-delaware-deploy-high-speed-internet,Relevant
136,Internet for All,6/26/2023,Virginia,07-01-2023,Biden-Harris Administration Announces $1.4 Billion to Virginia for High-Speed Internet Infrastructur...more,Biden-Harris Administration Announces $1.4 Billion to Virginia for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-14-billion-virginia-high-speed-internet,Relevant
137,Internet for All,6/26/2023,Georgia,07-01-2023,Biden-Harris Administration Announces $1.3 Billion to Georgia to Deploy High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $1.3 Billion to Georgia to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-13-billion-georgia-deploy-high-speed-internet,Relevant
138,Internet for All,6/26/2023,Texas,07-01-2023,Biden-Harris Administration Announces $3.3 Billion to Texas for High-Speed Internet Infrastructure,Biden-Harris Administration Announces $3.3 Billion to Texas for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-33-billion-texas-high-speed-internet,Relevant
139,Internet for All,6/26/2023,Illinois,07-01-2023,Biden-Harris Administration Announces $1 Billion to Illinois to Deploy High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $1 Billion to Illinois to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1-billion-illinois-deploy-high-speed-internet,Relevant
140,Internet for All,6/26/2023,South Carolina,07-01-2023,Biden-Harris Administration Announces $551.5 Million to South Carolina for High-Speed Internet Infra...more,Biden-Harris Administration Announces $551.5 Million to South Carolina for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-5515-million-south-carolina-high-speed-internet,Relevant
141,Internet for All,6/26/2023,Kansas,07-01-2023,Biden-Harris Administration Announces $451.7 Million to Kansas to Deploy High-Speed Internet Infrast...more,Biden-Harris Administration Announces $451.7 Million to Kansas to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-4517-million-kansas-deploy-high-speed-internet,Relevant
142,Internet for All,6/26/2023,Oregon,07-01-2023,Biden-Harris Administration Announces $688.9 Million to Oregon for High-Speed Internet Infrastructur...more,Biden-Harris Administration Announces $688.9 Million to Oregon for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-6889-million-oregon-high-speed-internet,Relevant
143,Internet for All,6/26/2023,Maine,07-01-2023,Biden-Harris Administration Announces $272 Million to Maine to Deploy High-Speed Internet Infrastruc...more,Biden-Harris Administration Announces $272 Million to Maine to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-272-million-maine-deploy-high-speed-internet,Relevant
144,Internet for All,6/26/2023,North Dakota,07-01-2023,Biden-Harris Administration Announces $130.2 Million to North Dakota for High-Speed Internet Infrast...more,Biden-Harris Administration Announces $130.2 Million to North Dakota for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1302-million-north-dakota-high-speed-internet,Relevant
145,Internet for All,6/26/2023,Michigan,07-01-2023,Biden-Harris Administration Announces More Than $1.5 Billion to Michigan to Deploy High-Speed Intern...more,Biden-Harris Administration Announces More Than $1.5 Billion to Michigan to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-more-15-billion-michigan-deploy-high-speed,Relevant
146,Internet for All,6/26/2023,New Mexico,07-01-2023,Biden-Harris Administration Announces $675.4 Million to New Mexico for High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $675.4 Million to New Mexico for High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-6754-million-new-mexico-high-speed-internet,Relevant
147,Internet for All,6/26/2023,Missouri,07-01-2023,Biden-Harris Administration Announces $1.7 Billion to Missouri to Deploy High-Speed Internet Infrast...more,Biden-Harris Administration Announces $1.7 Billion to Missouri to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-17-billion-missouri-deploy-high-speed-internet,Relevant
148,Internet for All,6/26/2023,Arizona,07-01-2023,Biden-Harris Administration Announces $993.1 Million to Arizona to Deploy High-Speed Internet Infras...more,Biden-Harris Administration Announces $993.1 Million to Arizona to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-9931-million-arizona-deploy-high-speed-internet,Relevant
149,Internet for All,6/26/2023,District of columbia,07-01-2023,Biden-Harris Administration Announces $100.7 Million to District of Columbia to Deploy High-Speed In...more,Biden-Harris Administration Announces $100.7 Million to District of Columbia to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1007-million-district-columbia-deploy-high-speed,Relevant
150,Internet for All,6/26/2023,Alabama,07-01-2023,Biden-Harris Administration Announces $1.4 Billion to Alabama to Deploy High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $1.4 Billion to Alabama to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-14-billion-alabama-deploy-high-speed-internet,Relevant
151,Internet for All,6/26/2023,Others,07-01-2023,Biden-Harris Administration Announces $149.5 Million to Hawaii to Deploy High-Speed Internet Infrast...more,Biden-Harris Administration Announces $149.5 Million to Hawaii to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1495-million-hawaii-deploy-high-speed-internet,Relevant
152,Internet for All,6/26/2023,Indiana,07-01-2023,Biden-Harris Administration Announces $868 Million to Indiana to Deploy High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $868 Million to Indiana to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-868-million-indiana-deploy-high-speed-internet,Relevant
153,Internet for All,6/26/2023,Kentucky,07-01-2023,Biden-Harris Administration Announces $1 Billion to Kentucky to Deploy High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $1 Billion to Kentucky to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1-billion-kentucky-deploy-high-speed-internet,Relevant
154,Internet for All,6/26/2023,Maryland,07-01-2023,Biden-Harris Administration Announces $267.7 Million to Maryland to Deploy High-Speed Internet Infra...more,Biden-Harris Administration Announces $267.7 Million to Maryland to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-2677-million-maryland-deploy-high-speed-internet,Relevant
155,Internet for All,6/26/2023,Minnesota,07-01-2023,Biden-Harris Administration Announces $652 Million to Minnesota to Deploy High-Speed Internet Infras...more,Biden-Harris Administration Announces $652 Million to Minnesota to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-652-million-minnesota-deploy-high-speed-internet,Relevant
156,Internet for All,6/26/2023,Arkansas,07-01-2023,Biden-Harris Administration Announces $1 Billion to Arkansas to Deploy High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $1 Billion to Arkansas to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1-billion-arkansas-deploy-high-speed-internet,Relevant
157,NCTA,6/30/2023,Others,07-01-2023,Establishing a Safer Internet Experience for Children,Establishing a Safer Internet Experience for Children,internet,https://www.ncta.com/whats-new/establishing-a-safer-internet-experience-for-children,Irrelevant
158,EPA,07-03-2023,Others,07-03-2023,$10 Million Grant Opportunity to Enhance Environmental Justice in New England Communities,$10 Million Grant Opportunity to Enhance Environmental Justice in New England Communities,grant,https://www.epa.gov/newsreleases/10-million-grant-opportunity-enhance-environmental-justice-new-england-communities,Irrelevant
159,Internet for All,6/26/2023,Colorado,07-04-2023,Biden-Harris Administration Announces $826.5 Million to Colorado to Deploy High-Speed Internet Infra...more,Biden-Harris Administration Announces $826.5 Million to Colorado to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-8265-million-colorado-deploy-high-speed-internet,Relevant
160,Internet for All,6/26/2023,Louisiana,07-04-2023,Biden-Harris Administration Announces More Than $1.3 Billion to Louisiana to Deploy High-Speed Inter...more,Biden-Harris Administration Announces More Than $1.3 Billion to Louisiana to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-more-13-billion-louisiana-deploy-high-speed,Relevant
161,Internet for All,6/26/2023,Massachusetts,07-04-2023,Biden-Harris Administration Announces $147.4 Million to Massachusetts to Deploy High-Speed Internet ...more,Biden-Harris Administration Announces $147.4 Million to Massachusetts to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1474-million-massachusetts-deploy-high-speed,Relevant
162,Internet for All,6/26/2023,Mississippi,07-04-2023,Biden-Harris Administration Announces $1.2 Billion to Mississippi to Deploy High-Speed Internet Infr...more,Biden-Harris Administration Announces $1.2 Billion to Mississippi to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-12-billion-mississippi-deploy-high-speed-internet,Relevant
163,Internet for All,6/26/2023,Connecticut,07-06-2023,Biden-Harris Administration Announces $144.2 Million to Connecticut to Deploy High-Speed Internet In...more,Biden-Harris Administration Announces $144.2 Million to Connecticut to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1442-million-connecticut-deploy-high-speed,Relevant
164,Internet for All,6/26/2023,Alaska,07-06-2023,Biden-Harris Administration Announces $1 Billion to Alaska to Deploy High-Speed Internet Infrastruct...more,Biden-Harris Administration Announces $1 Billion to Alaska to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-1-billion-alaska-deploy-high-speed-internet,Relevant
165,Internet for All,6/26/2023,Florida,07-06-2023,Biden-Harris Administration Announces More Than $1.1 Billion to Florida to Deploy High-Speed Interne...more,Biden-Harris Administration Announces More Than $1.1 Billion to Florida to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-more-11-billion-florida-deploy-high-speed-internet,Relevant
166,Internet for All,6/26/2023,Idaho,07-06-2023,Biden-Harris Administration Announces $583.3 Million to Idaho to Deploy High-Speed Internet Infrastr...more,Biden-Harris Administration Announces $583.3 Million to Idaho to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-5833-million-idaho-deploy-high-speed-internet,Relevant
167,Internet for All,6/26/2023,Iowa,07-06-2023,Biden-Harris Administration Announces $415.3 Million to Iowa to Deploy High-Speed Internet Infrastru...more,Biden-Harris Administration Announces $415.3 Million to Iowa to Deploy High-Speed Internet Infrastructure,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-4153-million-iowa-deploy-high-speed-internet,Relevant
168,NCTA,07-06-2023,Others,07-06-2023,Broadband Stats: An American Industry,Broadband Stats: An American Industry,broadband,https://www.ncta.com/whats-new/broadband-stats-an-american-industry,Irrelevant
169,EPA,07-06-2023,Alaska,07-07-2023,EPA grants $5.6 million to Alaska to inventory drinking water service lines for lead in nearly 270 t...more,EPA grants $5.6 million to Alaska to inventory drinking water service lines for lead in nearly 270 tribal and small disadvantaged communities  ,grant,https://www.epa.gov/newsreleases/epa-grants-56-million-alaska-inventory-drinking-water-service-lines-lead-nearly-270,Irrelevant
